,datetime,std.rhr,name
0,2020-10-17 00:00:00,1.8735631211323396,data/IndividualRed
1,2020-10-17 01:00:00,1.8880197138720245,data/IndividualRed
2,2020-10-17 03:00:00,1.8438591669490298,data/IndividualRed
3,2020-10-17 04:00:00,1.7729532609448055,data/IndividualRed
7,2020-10-17 09:00:00,1.8610982028551852,data/IndividualRed
8,2020-10-17 12:00:00,1.8833391303547051,data/IndividualRed
9,2020-10-17 16:00:00,1.8832227722679502,data/IndividualRed
